No.,section,index_entry
580,File Positioning,fseeko64
581,Portable Positioning,fsetpos
582,Portable Positioning,fsetpos64
583,Reading Attributes,fstat
584,Reading Attributes,fstat64
585,Misc FP Arithmetic,fsub
586,Misc FP Arithmetic,fsubl
587,Synchronizing I/O,fsync
588,File Positioning,ftell
589,File Positioning,ftello
590,File Positioning,ftello64
591,File Size,ftruncate
592,File Size,ftruncate64
593,Streams and Threads,ftrylockfile
594,Working with Directory Trees,ftw
595,Working with Directory Trees,ftw64
596,Streams and Threads,funlockfile
597,File Times,futimes
598,Streams and I18N,fwide
599,Formatted Output Functions,fwprintf
600,Block Input/Output,fwrite
601,Block Input/Output,fwrite_unlocked
602,Formatted Input Functions,fwscanf
603,Special Functions,gamma
604,Special Functions,gammaf
605,Special Functions,gammal
606,System V Number Conversion,gcvt
607,Auxiliary Vector,getauxval
608,Character Input,getc
609,Character Input,getchar
610,Character Input,getchar_unlocked
611,System V contexts,getcontext
612,CPU Affinity,getcpu
613,Working Directory,getcwd
614,Character Input,getc_unlocked
615,General Time String Parsing,getdate
616,General Time String Parsing,getdate_r
617,Line Input,getdelim
618,Low-level Directory Access,getdents64
619,Host Identification,getdomainnname
620,Reading Persona,getegid
621,Unpredictable Bytes,getentropy
622,Environment Access,getenv
623,Reading Persona,geteuid
624,fstab,getfsent
625,fstab,getfsfile
626,fstab,getfsspec
627,Reading Persona,getgid
628,Scanning All Groups,getgrent
629,Scanning All Groups,getgrent_r
630,Lookup Group,getgrgid
631,Lookup Group,getgrgid_r
632,Lookup Group,getgrnam
633,Lookup Group,getgrnam_r
634,Setting Groups,getgrouplist
635,Reading Persona,getgroups
636,Host Names,gethostbyaddr
637,Host Names,gethostbyaddr_r
638,Host Names,gethostbyname
639,Host Names,gethostbyname2
640,Host Names,gethostbyname2_r
641,Host Names,gethostbyname_r
642,Host Names,gethostent
643,Host Identification,gethostid
644,Host Identification,gethostname
645,Setting an Alarm,getitimer
646,Line Input,getline
647,Processor Resources,getloadavg
648,Who Logged In,getlogin
649,mtab,getmntent
650,mtab,getmntent_r
651,Networks Database,getnetbyaddr
652,Networks Database,getnetbyname
653,Networks Database,getnetent
654,Lookup Netgroup,getnetgrent
655,Lookup Netgroup,getnetgrent_r
656,Using Getopt,getopt
657,Getopt Long Options,getopt_long
658,Getopt Long Options,getopt_long_only
659,Query Memory Parameters,getpagesize
660,getpass,getpass
661,FP Bit Twiddling,getpayload
662,FP Bit Twiddling,getpayloadf
663,FP Bit Twiddling,getpayloadfN
664,FP Bit Twiddling,getpayloadfNx
665,FP Bit Twiddling,getpayloadl
666,Who is Connected,getpeername
667,Process Group Functions,getpgid
668,Process Group Functions,getpgrp
669,Process Identification,getpid
670,Process Identification,getppid
671,Traditional Scheduling Functions,getpriority
672,Protocols Database,getprotobyname
673,Protocols Database,getprotobynumber
674,Protocols Database,getprotoent
675,Allocation,getpt
676,Scanning All Users,getpwent
677,Scanning All Users,getpwent_r
678,Lookup User,getpwnam
679,Lookup User,getpwnam_r
680,Lookup User,getpwuid
681,Lookup User,getpwuid_r
682,Unpredictable Bytes,getrandom
683,Limits on Resources,getrlimit
684,Limits on Resources,getrlimit64
685,Resource Usage,getrusage
686,Line Input,gets
687,Services Database,getservbyname
688,Services Database,getservbyport
689,Services Database,getservent
690,Process Group Functions,getsid
691,Reading Address,getsockname
692,Socket Option Functions,getsockopt
693,Suboptions,getsubopt
694,Translation with gettext,gettext
695,Process Identification,gettid
696,Getting the Time,gettimeofday
697,Reading Persona,getuid
